RC105

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.    YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
    1      25         85         20         71        191         10   
    2      22         75         30         30        150         10   
    3      22         85         10         64        184         10   
    4      20         80         40        151        161         10   
    5      20         85         20         40        160         10   
    6      18         75         20         96        123         10   
    7      15         75         20         35        155         10   
    8      15         80         10        101        111         10   
   26      95         30         30         58        171         10   
   27      95         35         20         60         93         10   
   28      92         30         10         55        120         10   
   29      90         35         10         52        112         10   
   30      88         30         10         75        102         10   
   31      88         35         20         50        170         10   
   32      87         30         10        116        175         10   
   33      85         25         10         51         85         10   
   34      85         35         30         62        182         10   
   45      20         82         10         37         72         10   
   46      18         80         10         98        157         10   
   53      20         50          5        101        111         10   
   54      55         60         16        127        180         10   
   55      30         60         16        150        160         10   
   58      15         10         20        172        182         10   
   59      10         20         19         42        162         10   
   60      15         60         17        137        202         10   
   61      45         65          9         55        106         10   
   64      45         30         17         53         82         10   
   67      64         42          9         80         90         10   
   68      40         60         21        144        173         10   
   70      35         69         23        172        210         10   
   72      63         65          8         27        147         10   
   73       2         60          5         65        118         10   
   74      20         20          8        151        161         10   
   75       5          5         16         57        172         10   
   76      60         12         31         85         95         10   
   77      23          3          7        163        173         10   
   78       8         56         27         90        119         10   
   79       6         68         30         99        109         10   
   81      49         58         10         80        121         10   
   82      27         43          9         14        134         10   
   86      21         24         28         77        126         10   
   88      24         58         19         67         96         10   
   89      67          5         25        105        177         10   
   91      49         42         13         97        217         10   
   92      53         43         14         15         25         10   
   94      57         48         23         50        170         10   
   95      56         37          6         20        140         10   
   96      55         54         26         87        207         10   
   98      26         52          9         14        134         10   
   99      26         35         15         87         97         10   
