R105

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
   
    0      35         35          0          0        230          0   
    4      55         20         19        139        169         10   
    5      15         30         26         24         54         10   
    7      20         50          5         71        101         10   
    9      55         60         16         87        117         10   
   10      30         60         16        114        144         10   
   11      20         65         12         57         87         10   
   12      50         35         19         53         83         10   
   15      30          5          8         51         81         10   
   16      10         20         19         65         95         10   
   18      20         40         12         77        107         10   
   19      15         60         17         66         96         10   
   22      45         10         18         87        117         10   
   25      65         20          6        156        186         10   
   26      45         30         17        122        152         10   
   27      35         40         16         27         57         10   
   28      41         37         16         29         59         10   
   30      40         60         21         61         91         10   
   31      31         52         27         40         70         10   
   33      53         52         11         27         57         10   
   34      65         55         14        107        137         10   
   35      63         65          8        133        163         10   
   39      60         12         31         34         64         10   
   40      40         25          9         75        105         10   
   42      24         12          5         25         55         10   
   43      23          3          7        122        152         10   
   44      11         14         18         59         89         10   
   45       6         38         16         29         59         10   
   47       8         56         27         41         71         10   
   53      37         31         14         85        115         10   
   55      63         23          2        126        156         10   
   62      24         58         19         48         78         10   
   64      15         77          9         63         93         10   
   66      49         73         25        117        147         10   
   67      67          5         25         73        103         10   
   70      37         56          5        168        198         10   
   72      47         16         25         25         55         10   
   73      44         17          9         68         98         10   
   76      49         42         13         63         93         10   
   77      53         43         14        169        199         10   
   78      61         52          3         86        116         10   
   81      55         54         26         84        114         10   
   83      14         37         11         34         64         10   
   84      11         31          7         91        121         10   
   87      28         18         26         83        113         10   
   89      26         35         15        166        196         10   
   91      15         19          1        150        180         10   
   93      18         24         22        169        199         10   
   94      26         27         27         90        120         10   
   96      22         27         11        125        155         10   
   97      25         21         12        123        153         10   
