27-04-2026-10-08,c,"ce1-3,5,30",30,7,4,6,9.983191967010498,559.2960743741352,/
27-04-2026-10-14,c,"ce1-3,5,30",30,7,4,6,9.320425987243652,559.2960743741352,/
27-04-2026-10-15,c,"ce1-3,5,30",30,7,4,6,9.236829996109009,559.2960743741352,/
30-04-2026-11-47,c,"ce1-3,5,30",30,7,4,6,8.851455926895142,559.2960743741352,/
30-04-2026-11-47,c,"ce1-3,5,30",30,7,4,6,8.973948955535889,559.2960743741352,/
30-04-2026-11-52,c,"ce1-3,5,30",30,7,4,6,14.498173952102661,559.2960743741352,/
30-04-2026-12-11,c,"ce1-3,5,30",30,7,4,6,11.037354946136475,1.5907409191131592,8.795023202896118,559.2960743741352,/
30-04-2026-15-22,c,"cf1-2,3,30",30,4,2,7,105.60719108581543,1.5884101390838623,103.29067993164062,610.6036536130316,/
04-05-2026-13-19,c,"ce5-2,3,30",30,4,2,7,5.2371861934661865,1.5128591060638428,3.10237193107605,587.4655794115031,/
04-05-2026-13-26,c,"ce5-2,3,30",30,4,2,7,5.156951904296875,1.4970428943634033,3.0502851009368896,587.4655794115031,/
04-05-2026-13-27,c,"ce5-2,3,30",30,4,2,7,5.319020986557007,1.587460994720459,3.0834219455718994,587.4655794115031,/
04-05-2026-13-37,c,"ce5-2,3,30",30,4,2,7,5.40999698638916,1.5639841556549072,3.1598379611968994,587.4655794115031,/
04-05-2026-13-46,c,"ce5-2,3,30",30,4,2,7,5.568881034851074,1.644852876663208,3.152880907058716,587.4655794115031,/
04-05-2026-13-48,c,"ce5-2,3,30",30,4,2,7,5.360052108764648,1.540931224822998,3.1072421073913574,587.4655794115031,/
04-05-2026-13-55,c,"ce5-2,3,30",30,4,2,7,5.287396192550659,1.5058481693267822,3.081284999847412,587.4655794115031,/
04-05-2026-13-55,c,"ce5-2,3,30",30,4,2,7,5.340451002120972,1.4987390041351318,3.139533042907715,587.4655794115031,/
04-05-2026-13-59,c,"ce5-2,3,30",30,4,2,7,5.43778395652771,1.6225709915161133,3.1016910076141357,587.4655794115031,/
04-05-2026-14-00,c,"ce5-2,3,30",30,4,2,7,5.45887017250061,1.6312050819396973,3.1053829193115234,587.4655794115031,/
04-05-2026-14-53,c,"ce5-2,3,30",30,4,2,7,5.267491102218628,1.513923168182373,3.0449960231781006,587.4655794115031,/
11-05-2026-16-03,c,"ci1-3,5,30",30,7,4,7,5.922883987426758,1.6915380954742432,3.4147720336914062,575.9604409747183,/
11-05-2026-16-12,c,"ci1-3,5,30",30,7,4,7,5.764968156814575,1.5952200889587402,3.325301170349121,575.9604409747183,/
14-05-2026-16-00,c,"cf1-2,3,30",30,4,2,7,101.81846380233765,1.518953800201416,99.58089113235474,610.6036536130316,/
