R102

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
   
    0      35         35          0          0        230          0   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    7      20         50          5          0        198         10   
    9      55         60         16         97        107         10   
   15      30          5          8         61         71         10   
   16      10         20         19         75         85         10   
   18      20         40         12         87         97         10   
   19      15         60         17         76         86         10   
   22      45         10         18         97        107         10   
   25      65         20          6        172        182         10   
   26      45         30         17          0        208         10   
   30      40         60         21         71         81         10   
   31      31         52         27          0        202         10   
   33      53         52         11         37         47         10   
   34      65         55         14          0        183         10   
   35      63         65          8        143        153         10   
   43      23          3          7        132        142         10   
   44      11         14         18         69         79         10   
   47       8         56         27         51         61         10   
   62      24         58         19         58         68         10   
   64      15         77          9         73         83         10   
   66      49         73         25        127        137         10   
   67      67          5         25         83         93         10   
   70      37         56          5        182        192         10   
   72      47         16         25          0        197         10   
   81      55         54         26         94        104         10   
   84      11         31          7        101        111         10   
   87      28         18         26         93        103         10   
   89      26         35         15        176        186         10   
   91      15         19          1          0        194         10   
   93      18         24         22        188        198         10   
   97      25         21         12        133        143         10   
