R102

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
   
    0      35         35          0          0        230          0   
    4      55         20         19        149        159         10   
    5      15         30         26          0        199         10   
    7      20         50          5          0        198         10  
   22      45         10         18         97        107         10   
   26      45         30         17          0        208         10   
   33      53         52         11         37         47         10   
   34      65         55         14          0        183         10   
   40      40         25          9         85         95         10   
   42      24         12          5         31         41         10   
   43      23          3          7        132        142         10   
   70      37         56          5        182        192         10    
   76      49         42         13         73         83         10   
   91      15         19          1          0        194         10   
   93      18         24         22        188        198         10   
